Neighborhood,Month,Day,Shift,Category 1,Category 2,Category 3,Category 4
Adams Park,10,5,Evening,0,0,5,4
Adams Park,10,6,Morning,0,1,2,2
Adams Park,10,6,Day,0,0,2,4
Adams Park,10,6,Evening,0,1,2,3
Adams Park,11,0,Morning,0,1,2,2
Adams Park,11,0,Day,0,2,2,4
Adams Park,11,0,Evening,0,3,2,4
Adams Park,11,1,Morning,0,0,0,0
Adams Park,11,1,Day,0,1,3,4
Adams Park,11,1,Evening,0,2,2,2
Adams Park,11,2,Morning,0,1,0,1
Adams Park,11,2,Day,0,2,6,4
Adams Park,11,2,Evening,0,3,0,3
Adams Park,11,3,Morning,0,0,1,0
Adams Park,11,3,Day,0,0,2,1
Adams Park,11,3,Evening,0,2,0,1
Adams Park,11,4,Morning,0,0,2,3
Adams Park,11,4,Day,0,2,1,1
Adams Park,11,4,Evening,0,4,2,0
Adams Park,11,5,Morning,0,1,0,1
Adams Park,11,5,Day,0,1,2,2
Adams Park,11,5,Evening,0,1,1,4
Adams Park,11,6,Morning,0,1,1,2
Adams Park,11,6,Day,0,1,2,2
Adams Park,11,6,Evening,0,1,1,5
Adams Park,12,0,Morning,0,0,5,1
Adams Park,12,0,Day,0,2,4,2
Adams Park,12,0,Evening,0,1,3,1
Adams Park,12,1,Morning,0,0,1,0
Adams Park,12,1,Day,0,2,1,4
Adams Park,12,1,Evening,0,2,5,3
Adams Park,12,2,Morning,0,0,1,1
Adams Park,12,2,Day,0,1,1,7
Adams Park,12,2,Evening,0,2,0,8
Adams Park,12,3,Morning,0,0,3,1
Adams Park,12,3,Day,0,1,2,6
Adams Park,12,3,Evening,0,0,2,1
Adams Park,12,4,Morning,0,0,4,0
Adams Park,12,4,Day,0,1,1,5
Adams Park,12,4,Evening,0,6,2,3
Adams Park,12,5,Morning,0,3,2,1
Adams Park,12,5,Day,0,0,1,2
Adams Park,12,5,Evening,0,1,3,7
Adams Park,12,6,Morning,0,2,1,3
Adams Park,12,6,Day,0,0,1,0
Adams Park,12,6,Evening,0,1,0,1
Adamsville,1,0,Morning,0,1,0,0
Adamsville,1,0,Day,0,1,0,2
Adamsville,1,0,Evening,0,0,0,0
Adamsville,1,1,Morning,0,0,0,0
Adamsville,1,1,Day,0,0,1,0
Adamsville,1,1,Evening,0,0,1,0
Adamsville,1,2,Morning,0,0,0,0
Adamsville,1,2,Day,0,1,0,0
